,Label,VehicleID,Distance_driven,Sum_warning,Sum_warning_speed,Sum_secure_dist,Sum_TTC_respect,Sum_safe_dist,Sum_Emergency_Brake
667,Dangerous,dang228,4383.173253868107,227,18,61,5,142,1
668,Normal,normal229,5484.883817962486,3,1,1,0,0,1
669,Dangerous,dang229,5490.538818206951,312,17,148,10,135,2
670,Slow,slow228,4382.35147074214,0,0,0,0,0,0
671,Normal,normal230,4665.565355313453,5,2,0,0,0,3
672,Slow,slow229,5464.256982080985,0,0,0,0,0,0
673,Normal,normal231,1664.6836004862157,14,14,0,0,0,0
674,Dangerous,dang231,1652.649229081316,93,55,33,1,2,2
675,Normal,normal232,1182.791890867378,1,1,0,0,0,0
676,Slow,slow231,1665.7275091385482,0,0,0,0,0,0
677,Dangerous,dang232,1179.4022290560722,81,3,70,0,8,0
678,Normal,normal233,1696.2542852657493,4,4,0,0,0,0
679,Slow,slow232,1181.6868282261873,0,0,0,0,0,0
680,Dangerous,dang233,1679.6137198448755,78,54,24,0,0,0
681,Normal,normal234,3587.468900902518,1,1,0,0,0,0
682,Slow,slow233,1671.1335365374498,0,0,0,0,0,0
683,Dangerous,dang234,3643.0487837034493,126,42,51,0,33,0
684,Normal,normal235,5035.044117950812,1,0,0,0,0,1
685,Slow,slow234,3583.029029293443,1,0,0,0,0,1
686,Dangerous,dang235,5047.502407683653,80,4,55,0,20,1
687,Normal,normal236,1381.6981223667626,34,34,0,0,0,0
688,Slow,slow235,5040.718095178429,2,2,0,0,0,0
689,Dangerous,dang236,1384.5733271513507,103,38,49,3,12,1
690,Slow,slow236,1380.5487650475927,0,0,0,0,0,0
691,Normal,normal238,2732.7739240632013,1,1,0,0,0,0
692,Normal,normal237,4862.649106119645,3,2,0,0,0,1
693,Dangerous,dang237,4859.404274585307,141,7,94,2,37,1
694,Dangerous,dang238,2721.7653405709066,255,1,183,0,71,0
695,Normal,normal239,2320.162655475527,3,3,0,0,0,0
696,Slow,slow237,4859.673378518339,0,0,0,0,0,0
697,Slow,slow238,2728.5479183768025,0,0,0,0,0,0
698,Dangerous,dang239,2195.9439960938766,64,13,48,0,3,0
699,Normal,normal240,4003.573778273551,5,4,0,0,0,1
700,Slow,slow239,2207.1410830416207,0,0,0,0,0,0
701,Dangerous,dang240,3994.988822459955,21,0,6,5,8,2
702,Normal,normal241,5386.057230030632,82,82,0,0,0,0
703,Dangerous,dang241,5544.079457614835,80,42,35,2,1,0
704,Slow,slow240,4004.4066092737885,1,0,0,0,0,1
705,Normal,normal242,4853.079836039766,4,3,0,0,0,1
706,Slow,slow241,5383.911657288368,1,0,0,0,0,1
707,Dangerous,dang242,4884.149089632835,78,23,37,0,18,0
708,Normal,normal243,4292.126582780738,2,2,0,0,0,0
709,Slow,slow242,4847.29052948382,0,0,0,0,0,0
710,Dangerous,dang243,4279.424167994376,78,54,23,0,1,0
711,Normal,normal244,5837.518434051223,2,1,1,0,0,0
712,Slow,slow243,4185.958631892714,0,0,0,0,0,0
713,Dangerous,dang230,4671.404132730076,24,15,9,0,0,0
714,Dangerous,dang244,5830.738146970384,119,32,86,0,1,0
715,Normal,normal245,2035.5833230145765,0,0,0,0,0,0
716,Slow,slow244,5803.144908362586,0,0,0,0,0,0
717,Slow,slow230,4666.960478601692,0,0,0,0,0,0
718,Dangerous,dang245,2033.7697385192112,99,15,11,2,70,1
719,Normal,normal246,2356.2030521637566,6,6,0,0,0,0
720,Slow,slow245,2043.2854817724524,1,0,0,0,0,1
